Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2025-05-01 00:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,11.2298,1.0,20.7512,1.0,31.981,1.0,-9999.0,1.0,-9999.0,1.0,1.4564,2.1,-9999.0,1.0,252.814,1.0,98.412,1.0,640.659,1.0,0.13,1.0,-9999.0,1.0,18.301,1.0,0.16,1.0
2025-05-01 01:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,3.2422,2.5,-9999.0,1.0,248.537,1.0,98.969,1.0,640.02,1.0,0.06,1.0,-9999.0,1.0,18.264,1.0,0.149,1.0
2025-05-01 02:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,2.42365,2.5,-9999.0,1.0,168.054,1.0,98.29,1.0,639.8,1.0,0.0,1.0,-9999.0,1.0,18.304,1.0,0.073,1.0
2025-05-01 03:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,26.4165,1.0,23.0818,1.0,49.4983,1.0,-9999.0,1.0,-9999.0,1.0,1.29445,2.5,-9999.0,1.0,147.625,1.0,98.483,1.0,639.575,1.0,0.06,1.0,-9999.0,1.0,18.28,1.0,0.02,1.0
2025-05-01 04:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,16.5806,1.0,21.1966,1.0,37.7772,1.0,-9999.0,1.0,-9999.0,1.0,1.34857,2.5,-9999.0,1.0,215.076,1.0,98.855,1.0,639.675,1.0,0.01,1.0,-9999.0,1.0,18.329,1.0,0.108,1.0
2025-05-01 05:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,43.1225,1.0,20.3576,1.0,63.4801,1.0,-9999.0,1.0,-9999.0,1.0,1.74105,2.5,-9999.0,1.0,101.104,1.0,98.607,1.0,640.11,1.0,0.0,1.0,-9999.0,1.0,18.484,1.0,0.039,1.0
2025-05-01 06:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,72.4092,2.3,22.3677,1.0,94.7769,2.3,-9999.0,1.0,-9999.0,1.0,2.68675,2.5,-9999.0,1.0,28.683,1.0,97.138,1.0,640.611,1.0,0.0,1.0,-9999.0,1.0,18.708,1.0,0.214,1.0
2025-05-01 07:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,65.534,1.0,18.3502,1.0,83.8842,1.0,-9999.0,1.0,-9999.0,1.0,3.11031,2.5,-9999.0,1.0,35.342,1.0,93.781,1.0,641.072,1.0,0.0,1.0,-9999.0,1.0,19.449,1.0,0.21,1.0
2025-05-01 08:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,42.9134,1.0,18.9153,1.0,61.8287,1.0,-9999.0,1.0,-9999.0,1.0,2.88057,2.5,-9999.0,1.0,24.543,1.0,87.34,1.0,641.474,1.0,0.0,1.0,-9999.0,1.0,21.263,1.0,0.102,1.0
2025-05-01 09:00:00,12,-9999.0,4.31,-9999.0,4.31,-9999.0,1.0,37.2097,1.0,24.1134,1.0,61.3231,1.0,-9999.0,1.0,-9999.0,1.0,3.11823,2.5,-9999.0,1.0,59.301,1.0,81.034,1.0,641.474,1.0,0.0,1.0,-9999.0,1.0,22.514,1.0,0.235,1.0
